,exercise_name,muscle,equipment,imgs
119,['Seated Palms-Down Barbell Wrist Curl'],['Forearms'],[''],['https://www.bodybuilding.com/exercises/exerciseImages/sequences/389/Male/m/389_1.jpg']
120,['Car driver'],['Shoulders'],['Other'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-43s-car-driver-m2-square-600x600.jpg']
121,['Alternating Deltoid Raise'],['Shoulders'],['Dumbbell'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-61d-dumbbell-front-raise-to-lateral-raise-m2-square-600x600.jpg']
122,['Hanging Oblique Knee Raise'],['Abdominals'],['Body Only'],['https://www.bodybuilding.com/images/2020/xdb/cropped/2019-xdb-120c-hanging-oblique-crunch-m1-600x600.jpg']
123,['Bodyweight Flyes'],['Chest'],['E-Z Curl Bar'],['https://www.bodybuilding.com/images/2020/xdb/cropped/2019-xdb-182s-double-bar-roll-out-chest-fly-m1-600x600.jpg']
124,['Standing Calf Raises'],['Calves'],['Machine'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-117s-standing-calf-raise-m1-square-600x600.jpg']
125,['Push-Ups - Close Triceps Position'],['Triceps'],['Body Only'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-104a-close-push-up-m1-square-600x600.jpg']
126,['One-Arm Long Bar Row'],['Middle Back'],['Barbell'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-124s-single-arm-landmine-bent-over-row-m1-square-600x600.jpg']
127,['Overhead cable curl'],['Biceps'],['Cable'],['https://www.bodybuilding.com/images/2020/xdb/cropped/2020-xdb-136c-overhead-cable-curl-m1-600x600.jpg']
128,['Single-dumbbell front raise'],['Shoulders'],['Dumbbell'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-18d-single-dumbbell-front-raise-m1-square-600x600.jpg']
129,['Incline cable chest fly'],['Chest'],['Cable'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-10c-incline-cable-chest-fly-m1-square-600x600.jpg']
130,['Single-leg depth squat'],['Quadriceps'],['Bands'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-68e-single-leg-depth-squat-m1-square-600x600.jpg']
131,['Dumbbell suitcase crunch'],['Abdominals'],['Medicine Ball'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-50d-dumbbell-suitcase-crunch-m1-square-600x600.jpg']
132,['Plate Twist'],['Abdominals'],['Other'],['https://www.bodybuilding.com/exercises/exerciseImages/sequences/106/Male/m/106_1.jpg']
133,['Single-leg cable hip extension'],['Glutes'],['Cable'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-43c-single-leg-cable-hip-extension-m1-square-600x600.jpg']
134,['Weighted Jump Squat'],['Quadriceps'],['Barbell'],['https://www.bodybuilding.com/exercises/exerciseImages/sequences/887/Male/m/887_1.jpg']
135,['Squat with Chains'],['Quadriceps'],['Barbell'],['https://www.bodybuilding.com/exercises/exerciseImages/sequences/705/Male/m/705_1.jpg']
136,['Gorilla Chin/Crunch'],['Abdominals'],['Body Only'],['https://www.bodybuilding.com/exercises/exerciseImages/sequences/183/Male/m/183_1.jpg']
137,['Kneeling cable triceps extension'],['Triceps'],['Cable'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-89c-kneeling-cable-triceps-extension-m1-square-600x600.jpg']
138,['Kneeling Cable Crunch With Alternating Oblique Twists'],['Abdominals'],['Cables'],['https://www.bodybuilding.com/exercises/exerciseImages/sequences/937/Male/m/937_1.jpg']
139,['Bicycling'],['Quadriceps'],['Other'],['https://www.bodybuilding.com/exercises/exerciseImages/sequences/646/Male/m/646_1.jpg']
140,['Arnold press'],['Shoulders'],['Dumbbell'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-1e-arnold-press-m1-square-600x600.jpg']
141,['Weighted Crunches'],['Abdominals'],['Other'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-50d-dumbbell-suitcase-crunch-m1-square-600x600.jpg']
142,['Single-arm cable triceps extension'],['Triceps'],['Cable'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-31c-single-arm-cable-triceps-extension-m1-square-600x600.jpg']
143,['Barbell roll-out'],['Abdominals'],['Barbell'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-48b-barbell-roll-out-m1-square-600x600.jpg']
144,['Kneeling cable crunch'],['Abdominals'],['Cable'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-35c-kneeling-cable-crunch-m1-square-600x600.jpg']
145,['Exercise Ball Pull-In'],['Abdominals'],['Exercise Ball'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-22s-exercise-ball-knee-roll-in-m1-square-600x600.jpg']
146,['Hanging leg raise'],['Abdominals'],['Body Only'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-9m-hanging-leg-raise-m1-square-600x600.jpg']
147,['Barbell Ab Rollout - On Knees'],['Abdominals'],['Barbell'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-48b-barbell-roll-out-m1-square-600x600.jpg']
148,['Barbell Squat'],['Quadriceps'],['Barbell'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-50b-barbell-back-squat-m1-square-600x600.jpg']
149,['Decline barbell bench press'],['Chest'],['Barbell'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-34n-decline-barbell-bench-press-m1-square-600x600.jpg']
150,['Squat with Chains'],['Quadriceps'],['Barbell'],['https://www.bodybuilding.com/exercises/exerciseImages/sequences/705/Male/m/705_1.jpg']
151,['Gorilla Chin/Crunch'],['Abdominals'],['Body Only'],['https://www.bodybuilding.com/exercises/exerciseImages/sequences/183/Male/m/183_1.jpg']
152,['Kneeling cable triceps extension'],['Triceps'],['Cable'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-89c-kneeling-cable-triceps-extension-m1-square-600x600.jpg']
153,['Kneeling Cable Crunch With Alternating Oblique Twists'],['Abdominals'],['Cables'],['https://www.bodybuilding.com/exercises/exerciseImages/sequences/937/Male/m/937_1.jpg']
154,['Bicycling'],['Quadriceps'],['Other'],['https://www.bodybuilding.com/exercises/exerciseImages/sequences/646/Male/m/646_1.jpg']
155,['Arnold press'],['Shoulders'],['Dumbbell'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-1e-arnold-press-m1-square-600x600.jpg']
156,['Weighted Crunches'],['Abdominals'],['Other'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-50d-dumbbell-suitcase-crunch-m1-square-600x600.jpg']
157,['Single-arm cable triceps extension'],['Triceps'],['Cable'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-31c-single-arm-cable-triceps-extension-m1-square-600x600.jpg']
158,['Barbell roll-out'],['Abdominals'],['Barbell'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-48b-barbell-roll-out-m1-square-600x600.jpg']
159,['Kneeling cable crunch'],['Abdominals'],['Cable'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-35c-kneeling-cable-crunch-m1-square-600x600.jpg']
160,['Exercise Ball Pull-In'],['Abdominals'],['Exercise Ball'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-22s-exercise-ball-knee-roll-in-m1-square-600x600.jpg']
161,['Hanging leg raise'],['Abdominals'],['Body Only'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-9m-hanging-leg-raise-m1-square-600x600.jpg']
162,['Barbell Ab Rollout - On Knees'],['Abdominals'],['Barbell'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-48b-barbell-roll-out-m1-square-600x600.jpg']
163,['Barbell Squat'],['Quadriceps'],['Barbell'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-50b-barbell-back-squat-m1-square-600x600.jpg']
164,['Decline barbell bench press'],['Chest'],['Barbell'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-34n-decline-barbell-bench-press-m1-square-600x600.jpg']
165,['Dumbbell Bicep Curl'],['Biceps'],['Dumbbell'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-2d-dumbbell-biceps-curl-m1-square-600x600.jpg']
166,['Dumbbell Goblet Squat'],['Quadriceps'],['Dumbbell'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-87d-dumbbell-goblet-squat-m1-square-600x600.jpg']
167,['Dumbbell squat'],['Quadriceps'],['Dumbbell'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-120d-dumbbell-squat-m1-square-600x600.jpg']
168,['Barbell front squat'],['Quadriceps'],['Barbell'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-51b-barbell-front-squat-m1-square-600x600.jpg']
169,['Close-grip pull-down'],['Lats'],['Cable'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-73c-close-grip-pull-down-m1-square-600x600.jpg']
170,['Triceps Pushdown - Rope Attachment'],['Triceps'],['Cables'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-16c-cable-rope-push-down-m1-square-600x600.jpg']
171,['Side-to-side box skip'],['Quadriceps'],['Body Only'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-69e-side-to-side-box-skip-m1-square-600x600.jpg']
172,['Smith machine shoulder press'],['Shoulders'],['Machine'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-alt-31t-smith-machine-shoulder-press-m1-square-600x600.jpg']
173,['Seated triceps press'],['Triceps'],['Dumbbell'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-54e-seated-triceps-press-m1-square-600x600.jpg']
174,['Dumbbell Lying Supination'],['Forearms'],[''],['https://www.bodybuilding.com/exercises/exerciseImages/sequences/323/Male/m/323_1.jpg']
175,['Pull-up'],['Lats'],['Body Only'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-92c-pull-up-m1-square-600x600.jpg']
176,['Wide-grip bench press'],['Chest'],['Barbell'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-84e-wide-grip-bench-press-m1-square-600x600.jpg']
177,['Close-grip EZ-bar curl'],['Biceps'],['Barbell'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-47s-close-grip-ez-bar-curl-m1-square-600x600.jpg']
178,['T-Bar Row'],['Middle Back'],['Other'],['https://www.bodybuilding.com/images/2020/xdb/3381_1.jpg']
179,['Bent Over Two-Arm Long Bar Row'],['Middle Back'],['Barbell'],['https://www.bodybuilding.com/exercises/exerciseImages/sequences/18/Male/m/18_1.jpg']
180,['Muscle Up'],['Lats'],['Body Only'],['https://www.bodybuilding.com/exercises/exerciseImages/sequences/1501/Male/m/1501_1.jpg']
181,['Machine shoulder press'],['Shoulders'],['Machine'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-69m-machine-shoulder-press-m1-square-600x600.jpg']
182,['Incline EZ-bar skullcrusher'],['Triceps'],['Barbell'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-27n-incline-ez-bar-skullcrusher-m1-square-600x600.jpg']
183,['Alternating sit-through with crunch'],['Middle Back'],['Other'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-124s-single-arm-landmine-bent-over-row-m1-square-600x600.jpg']
184,['Wide-Grip Decline Barbell Bench Press'],['Chest'],['Barbell'],['https://www.bodybuilding.com/exercises/exerciseImages/sequences/35/Male/m/35_1.jpg']
185,['Rower'],['Middle Back'],['Machine'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-15m-rower-m1-square-600x600.jpg']
186,['Snatch Deadlift'],['Hamstrings'],['Barbell'],['https://www.bodybuilding.com/exercises/exerciseImages/sequences/716/Male/m/716_1.jpg']
187,['Front Plate Raise'],['Shoulders'],['Other'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-42s-plate-front-raise-m1-square-600x600.jpg']
188,['Decline Close-Grip Bench To Skull Crusher'],['Triceps'],['Barbell'],['https://www.bodybuilding.com/exercises/exerciseImages/sequences/288/Male/m/288_1.jpg']
189,['Lying Leg Curls'],['Hamstrings'],['Machine'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-20m-lying-leg-curl-m1-square-600x600.jpg']
190,['Cross-body hammer curl'],['Biceps'],['Dumbbell'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-4d-cross-body-hammer-curl-m1-square-600x600.jpg']
191,['Shotgun row'],['Lats'],['Cable'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-37c-shotgun-row-m1-square-600x600.jpg']
192,['Ab Roller'],['Abdominals'],['Other'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-2s-ab-wheel-roll-out-m1-square-600x600.jpg']
193,['Reverse-grip incline dumbbell bench press'],['Chest'],['Dumbbell'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-4n-reverse-grip-incline-dumbbell-bench-press-m1-square-600x600.jpg']
194,['Leg Press'],['Quadriceps'],['Machine'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-44m-leg-press-m1-square-600x600.jpg']
195,['Stiff-Legged Dumbbell Deadlift'],['Hamstrings'],['Dumbbell'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-9d-dumbbell-stiff-legged-deadlift-m1-square-600x600.jpg']
196,['Cable Crossover'],['Chest'],['Cable'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-1c-cable-cross-over-m1-square-600x600.jpg']
197,['Barbell Incline Bench Press Medium-Grip'],['Chest'],['Barbell'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-42n-incline-bench-press-m1-square-600x600.jpg']
198,['Incline Dumbbell Flyes'],['Chest'],['Dumbbell'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-8n-incline-dumbbell-chest-fly-m1-square-600x600.jpg']
199,['Seated Cable Rows'],['Middle Back'],['Cable'],['https://www.bodybuilding.com/images/2020/xdb/cropped/2020-xdb-81c-cable-seated-row-m1-crop-600x600.jpg']
200,['Tricep Dumbbell Kickback'],['Triceps'],['Dumbbell'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-76d-single-arm-triceps-kick-back-m2-square-600x600.jpg']
201,['Otis-Up'],['Abdominals'],['Other'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-59s-otis-up-m1-square-600x600.jpg']
202,['Mountain climber'],['Abdominals'],['Body Only'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-201a-mountain-climber-m1-square-600x600.jpg']
203,['Ab bicycle'],['Abdominals'],['Body Only'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-73a-ab-cycle-m2-square-600x600.jpg']
204,['Barbell forward lunge'],['Quadriceps'],['Barbell'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-43b-barbell-forward-lunge-m1-square-600x600.jpg']
205,['3/4 sit-up'],['Abdominals'],['Body Only'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-149a-34-sit-up-m1-square-600x600.jpg']
206,['Exercise ball leg curl'],['Hamstrings'],['Exercise Ball'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-21s-exercise-ball-leg-curl-m1-square-600x600.jpg']
207,['Glute bridge'],['Glutes'],['Body Only'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-59a-glute-bridge-m1-square-600x600.jpg']
208,['Close-Grip Front Lat Pulldown'],['Lats'],['Cable'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-73c-close-grip-pull-down-m1-square-600x600.jpg']
209,['Dip Machine'],['Triceps'],['Cable'],['https://www.bodybuilding.com/exercises/exerciseImages/sequences/146/Male/m/146_1.jpg']
210,['Incline dumbbell row'],['Middle Back'],['Dumbbell'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-16n-incline-dumbbell-row-m1-square-600x600.jpg']
211,['Dumbbell Lunges'],['Quadriceps'],['Dumbbell'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-128d-3d-dumbbell-lunge-m1-square-600x600.jpg']
212,['Single-arm standing shoulder press'],['Shoulders'],['Dumbbell'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-107d-single-arm-standing-shoulder-press-m1-square-600x600.jpg']
213,['Preacher Curl'],['Biceps'],['Barbell'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-55s-ez-bar-preacher-curl-m1-square-600x600.jpg']
214,['Reverse crunch'],['Abdominals'],['Body Only'],['https://www.bodybuilding.com/images/2020/xdb/cropped/2019-xdb-263a-reverse-crunch-m1-600x600.jpg']
215,['Standing Dumbbell Triceps Extension'],['Triceps'],['Dumbbell'],['https://www.bodybuilding.com/images/2020/june/345_1.jpg']
216,['Elliptical trainer'],['Quadriceps'],['Machine'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-22m-elliptical-trainer-m1-square-600x600.jpg']
217,['Bodyweight squat'],['Quadriceps'],['Body Only'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-27a-bodyweight-squat-m1-square-600x600.jpg']
218,['Bent Over Two-Dumbbell Row With Palms In'],['Middle Back'],['Dumbbell'],['https://www.bodybuilding.com/exercises/exerciseImages/sequences/17/Male/m/17_1.jpg']
219,['Hex-bar deadlift'],['Quadriceps'],['Other'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-123s-hex-bar-deadlift-m1-square-600x600.jpg']
220,['Narrow-stance leg press'],['Quadriceps'],['Machine'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-46m-wide-stance-leg-press-m1-square-600x600.jpg']
221,['Single-leg glute bridge'],['Glutes'],['Body Only'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-61a-single-leg-glute-bridge-m1-square-600x600.jpg']
222,['Barbell Curls Lying Against An Incline'],['Biceps'],['Barbell'],['https://www.bodybuilding.com/exercises/exerciseImages/sequences/300/Male/m/300_1.jpg']
223,['Standing Hip Circles'],['Abductors'],['Body Only'],['https://www.bodybuilding.com/exercises/exerciseImages/sequences/873/Male/m/873_1.jpg']
224,['Clam'],['Abductors'],[''],['https://www.bodybuilding.com/images/2020/april/2843_1.jpg']
225,['Narrow Stance Hack Squats'],['Quadriceps'],['Machine'],['https://www.bodybuilding.com/exercises/exerciseImages/sequences/271/Male/m/271_1.jpg']
226,['Seated Close-Grip Concentration Barbell Curl'],['Biceps'],['Barbell'],['https://www.bodybuilding.com/exercises/exerciseImages/sequences/309/Male/m/309_1.jpg']
227,['Dumbbell Lying Pronation'],['Forearms'],[''],['https://www.bodybuilding.com/exercises/exerciseImages/sequences/321/Male/m/321_1.jpg']
228,['Smith machine box squat'],['Quadriceps'],['Barbell'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-alt-36t-smith-machine-box-squat-m1-square-600x600.jpg']
229,['Drop Push'],['Chest'],['Other'],['https://www.bodybuilding.com/exercises/exerciseImages/sequences/779/Male/m/779_1.jpg']
230,['Upside-down pull-up'],['Middle Back'],['Other'],['https://www.bodybuilding.com/images/2020/xdb/cropped/2019-xdb-141c-upside-down-pull-up-m3-crop-600x600.jpg']
231,['Reverse Barbell Preacher Curls'],['Biceps'],['E-Z Curl Bar'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-21b-reverse-grip-barbell-curl-m1-square-600x600.jpg']
232,['Close-grip EZ-bar bench press'],['Chest'],['E-Z Curl Bar'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-93s-close-grip-ez-bar-bench-press-m1-square-600x600.jpg']
233,['Incline Push-Up'],['Chest'],['Body Only'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-18e-hands-elevated-push-up-m1-square-600x600.jpg']
234,['Hyperextensions With No Hyperextension Bench'],['Lower Back'],['Body Only'],['https://www.bodybuilding.com/exercises/exerciseImages/sequences/24/Male/m/24_1.jpg']
235,['Dumbbell front raise'],['Shoulders'],['Dumbbell'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-13d-dumbbell-front-raise-m1-square-600x600.jpg']
236,['Parallel Bar Dip'],['Triceps'],['Body Only'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-1m-triceps-dip-m1-square-600x600.jpg']
237,['Stairmaster'],['Quadriceps'],['Machine'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-51m-stair-climber-m1-square-600x600.jpg']
238,['Double Leg Butt Kick'],['Quadriceps'],[''],['https://www.bodybuilding.com/exercises/exerciseImages/sequences/778/Male/m/778_1.jpg']
239,['Groiners'],['Adductors'],['Body Only'],['https://www.bodybuilding.com/exercises/exerciseImages/sequences/592/Male/m/592_1.jpg']
